"SOLUCION [0.015411612115663387, 9.198901350423437]"
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"g22m int#2";"[10.000000001579366]";"[17.000000001842594]";"[5.000000000263228]";"[17.000000002632277]";"[10.000000001579366]";"[17.000000001842594]";"[5.000000000263228]";"[17.000000002632277]";"[89.09297713949825]";"[47.12925805391832]"
"g32m int#3";"[11.000000001316138]";"[17.00000000210582]";"[5.000000000263228]";"[16.000000002632277]";"[11.000000001316138]";"[17.00000000210582]";"[5.000000000263228]";"[16.000000002632277]";"[89.09297713949825]";"[47.12925805391832]"
"X12m int#1";"[1.0345717612836476]";"[0.6202510618884987]";"[0.790717331777365]";"[0.991085669459502]";"[0.6755707842077376]";"[0.9488552041453615]";"[0.8135968842014786]";"[0.9631014221529854]"
"X22m int#2";"[0.9197580073041022]";"[0.7468796851817222]";"[0.7660074151189955]";"[0.8975821011232875]";"[0.8977936369804219]";"[0.7650240580476636]";"[0.7870566033480718]";"[0.8725478530966067]"
"X32m int#3";"[0.6884665319523158]";"[0.9227846052677705]";"[0.7852262391542392]";"[0.9816652297398596]";"[1.0062843146783398]";"[0.6321881493193252]";"[0.8053602452863992]";"[0.9816652297398596]"
"S12m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S22m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S32m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q12m int#1";"[226.0909090909091]";"[590.4545454545454]";"[78.54545454545455]";"[325.1818181818182]";"[147.63636363636363]";"[903.2727272727273]";"[80.81818181818181]";"[316.0]"
"q22m int#2";"[182.72727272727272]";"[711.0]";"[76.09090909090908]";"[312.9090909090909]";"[178.36363636363635]";"[728.2727272727274]";"[78.18181818181817]";"[304.18181818181813]"
"q32m int#3";"[150.45454545454544]";"[878.4545454545455]";"[78.0]";"[322.09090909090907]";"[219.9090909090909]";"[601.8181818181818]";"[80.0]";"[322.09090909090907]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g13m int#1";"[11.00000092817081]";"[17.00000154695135]";"[5.0]";"[16.00000123756108]";"[11.00000092817081]";"[17.00000154695135]";"[5.0]";"[16.00000123756108]";"[89.35173034781369]";"[47.37766113390114]"
"g23m int#2";"[10.00000092817081]";"[17.000001082865946]";"[5.000000154695135]";"[17.00000154695135]";"[10.00000092817081]";"[17.000001082865946]";"[5.000000154695135]";"[17.00000154695135]";"[89.35173034781369]";"[47.37766113390114]"
"g33m int#3";"[11.000000773475675]";"[17.00000123756108]";"[5.000000154695135]";"[16.00000154695135]";"[11.000000773475675]";"[17.00000123756108]";"[5.000000154695135]";"[16.00000154695135]";"[89.35173034781369]";"[47.37766113390114]"
"X13m int#1";"[1.1068315852391024]";"[0.6499226501136589]";"[0.8288095788811067]";"[1.0648224990338717]";"[0.7079883905581444]";"[1.0151090728786722]";"[0.8747015821414119]";"[1.008691459157869]"
"X23m int#2";"[0.9816298586259044]";"[0.7806542389764454]";"[0.799438672060657]";"[0.9603409463544578]";"[0.9375735395851905]";"[0.8170483759916645]";"[0.841659313753872]";"[0.9101270406627213]"
"X33m int#3";"[0.733854800533527]";"[0.96281646338074]";"[0.8177954727968375]";"[1.0459268812268776]";"[1.050092400763438]";"[0.673866172918222]";"[0.8581804344164347]";"[1.0459268812268776]"
"S13m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S23m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S33m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q13m int#1";"[241.18181818181816]";"[616.9090909090909]";"[82.09090909090908]";"[348.3636363636364]";"[154.27272727272728]";"[963.5454545454544]";"[86.63636363636364]";"[330.00000000000006]"
"q23m int#2";"[194.45454545454544]";"[741.0]";"[79.18181818181817]";"[333.8181818181818]";"[185.72727272727272]";"[775.5454545454546]";"[83.36363636363636]";"[316.3636363636363]"
"q33m int#3";"[159.90909090909088]";"[913.9090909090909]";"[81.0]";"[342.1818181818182]";"[228.81818181818178]";"[639.6363636363635]";"[85.00000000000001]";"[342.1818181818182]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g14m int#1";"[11.000038678892194]";"[17.000064464820323]";"[5.0]";"[16.000051571856257]";"[11.000038678892194]";"[17.000064464820323]";"[5.0]";"[16.000051571856257]";"[89.50437760851611]";"[47.52420250417546]"
"g24m int#2";"[10.000038678892194]";"[17.000045125374225]";"[5.000006446482033]";"[17.000064464820323]";"[10.000038678892194]";"[17.000045125374225]";"[5.000006446482033]";"[17.000064464820323]";"[89.50437760851611]";"[47.52420250417546]"
"g34m int#3";"[11.000032232410161]";"[17.000051571856257]";"[5.000006446482033]";"[16.000064464820323]";"[11.000032232410161]";"[17.000051571856257]";"[5.000006446482033]";"[16.000064464820323]";"[89.50437760851611]";"[47.52420250417546]"
"X14m int#1";"[1.1780919516423383]";"[0.6789483155733694]";"[0.8660824212349477]";"[1.1376175928437329]";"[0.7397029990801485]";"[1.080445941781445]";"[0.9350380280211699]";"[1.053277458116145]"
"X24m int#2";"[1.0426047419280347]";"[0.8136452190090839]";"[0.8320632491109211]";"[1.022232633713134]";"[0.9764076154564135]";"[0.8683295457199882]";"[0.895502325562472]";"[0.9467833773037584]"
"X34m int#3";"[0.7785692061533431]";"[1.001874047878468]";"[0.849531980307725]";"[1.1092249704996]";"[1.0928386871127174]";"[0.7149253475811875]";"[0.9102128360439913]";"[1.1092249704996]"
"S14m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S24m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S34m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q14m int#1";"[256.27272727272725]";"[643.3636363636363]";"[85.63636363636363]";"[371.5454545454546]";"[160.9090909090909]";"[1023.8181818181816]";"[92.45454545454545]";"[344.00000000000006]"
"q24m int#2";"[206.1818181818182]";"[770.9999999999999]";"[82.27272727272727]";"[354.72727272727275]";"[193.0909090909091]";"[822.818181818182]";"[88.54545454545453]";"[328.5454545454545]"
"q34m int#3";"[169.36363636363632]";"[949.3636363636364]";"[84.0]";"[362.27272727272725]";"[237.7272727272727]";"[677.4545454545453]";"[90.00000000000001]";"[362.27272727272725]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g15m int#1";"[11.000545472850808]";"[17.000909121418015]";"[5.0]";"[16.00072729713441]";"[11.000545472850808]";"[17.000909121418015]";"[5.0]";"[16.00072729713441]";"[89.61326250795504]";"[47.62873200763684]"
"g25m int#2";"[10.000545472850808]";"[17.00063638499261]";"[5.000090912141801]";"[17.000909121418015]";"[10.000545472850808]";"[17.00063638499261]";"[5.000090912141801]";"[17.000909121418015]";"[89.61326250795504]";"[47.62873200763684]"
"g35m int#3";"[11.000454560709008]";"[17.00072729713441]";"[5.000090912141801]";"[16.000909121418015]";"[11.000454560709008]";"[17.00072729713441]";"[5.000090912141801]";"[16.000909121418015]";"[89.61326250795504]";"[47.62873200763684]"
"X15m int#1";"[1.2489252675667963]";"[0.7076908345718758]";"[0.9030365744253094]";"[1.2100161081895875]";"[0.7711119826216434]";"[1.145387242436159]";"[0.9950892323687663]";"[1.0974305467643013]"
"X25m int#2";"[1.1031909293822044]";"[0.846303471390626]";"[0.8643587419481548]";"[1.0837502814313524]";"[1.0148251978672342]";"[0.9193020684008266]";"[0.9490456474425426]";"[0.9830338951608686]"
"X35m int#3";"[0.823000436825171]";"[1.0405125955350547]";"[0.8809279191101]";"[1.1721026990144279]";"[1.135129733150325]";"[0.7557235393399618]";"[0.9619327852351671]";"[1.1721026990144279]"
"S15m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S25m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S35m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q15m int#1";"[271.3636363636364]";"[669.8181818181816]";"[89.18181818181816]";"[394.7272727272728]";"[167.54545454545453]";"[1084.090909090909]";"[98.27272727272728]";"[358.0000000000001]"
"q25m int#2";"[217.9090909090909]";"[800.9999999999999]";"[85.36363636363636]";"[375.6363636363636]";"[200.45454545454544]";"[870.0909090909092]";"[93.72727272727272]";"[340.7272727272727]"
"q35m int#3";"[178.81818181818176]";"[984.8181818181819]";"[86.99999999999999]";"[382.3636363636363]";"[246.6363636363636]";"[715.272727272727]";"[95.00000000000003]";"[382.3636363636363]"
""
""
