SOLUCION [0.22659647516594186, 9.705500877393758]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g11m int#1;11.0;17.0;5.0;16.0;11.0;17.0;5.0;16.0;65.0;24.0
g21m int#2;10.0;17.0;5.0;17.0;10.0;17.0;5.0;17.0;65.0;24.0
g31m int#3;11.0;17.0;5.0;16.0;11.0;17.0;5.0;16.0;65.0;24.0
X11m int#1;0.704417051874679;0.4322450567719571;0.5508474576271186;0.6715243568691844;0.4707241910631741;0.6460684093240423;0.5508474576271186;0.6715243568691844
X21m int#2;0.6279661016949152;0.5219129142937993;0.5361581920903954;0.6110950127177307;0.6279661016949152;0.5219129142937993;0.5361581920903954;0.6110950127177307
X31m int#3;0.4707241910631741;0.6460684093240423;0.5508474576271186;0.6715243568691844;0.704417051874679;0.4322450567719571;0.5508474576271186;0.6715243568691844
S11m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S21m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S31m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q11m int#1;211.0;564.0;75.0;302.0;141.0;843.0;75.0;302.0
q21m int#2;170.99999999999997;681.0;72.99999999999999;291.99999999999994;170.99999999999997;681.0;72.99999999999999;291.99999999999994
q31m int#3;141.0;843.0;75.0;302.0;211.0;564.0;75.0;302.0
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g12m int#1;11.000000000045123;17.000000000075207;5.0;16.000000000060165;11.000000000045123;17.000000000075207;5.0;16.000000000060165;78.74774397652757;37.19783421746648
g22m int#2;10.000000000045123;17.000000000052644;5.00000000000752;17.000000000075207;10.000000000045123;17.000000000052644;5.00000000000752;17.000000000075207;78.74774397652757;37.19783421746648
g32m int#3;11.000000000037604;17.000000000060165;5.00000000000752;16.000000000075207;11.000000000037604;17.000000000060165;5.00000000000752;16.000000000075207;78.74774397652757;37.19783421746648
X12m int#1;0.9013609259878134;0.5429657683314882;0.6921411879777122;0.8626215308210318;0.5913736588131583;0.8266847810250396;0.7080305632756393;0.8431870506486195
X22m int#2;0.8017778775297923;0.6541852129997444;0.6711672125834385;0.781997301194367;0.786524077243851;0.6667861041666089;0.6857854378575096;0.7646115344239501
X32m int#3;0.6003294885269093;0.8085792900333897;0.6883277379051742;0.8560792305641672;0.8817158801656048;0.5512558283101653;0.7023103881673292;0.8560792305641672
S12m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S22m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S32m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q12m int#1;222.85714285714286;584.7857142857143;77.78571428571429;320.2142857142857;146.21428571428572;890.3571428571428;79.57142857142857;313.0
q22m int#2;180.2142857142857;704.5714285714286;75.42857142857142;308.42857142857144;176.78571428571428;718.1428571428571;77.07142857142856;301.57142857142856
q32m int#3;148.42857142857144;870.8571428571428;77.35714285714286;317.7857142857142;218.0;593.7142857142858;78.92857142857142;317.7857142857142
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g13m int#1;11.000000037674846;17.000000062791408;5.0;16.000000050233126;11.000000037674846;17.000000062791408;5.0;16.000000050233126;81.0858410006613;39.442407360634846
g23m int#2;10.000000037674846;17.000000043953985;5.000000006279141;17.000000062791408;10.000000037674846;17.000000043953985;5.000000006279141;17.000000062791408;81.0858410006613;39.442407360634846
g33m int#3;11.000000031395704;17.000000050233126;5.000000006279141;16.000000062791408;11.000000031395704;17.000000050233126;5.000000006279141;16.000000062791408;81.0858410006613;39.442407360634846
X13m int#1;0.9775041184811509;0.5789592207599985;0.7382149204902821;0.9387577054865469;0.6306478183749362;0.8965058563502312;0.770937213065206;0.8987346880723885
X23m int#2;0.8677951958175755;0.6961441735040381;0.7133459772374997;0.8481056871228566;0.8363817950639981;0.7220942211724247;0.7434504863686237;0.8123017531018387
X33m int#3;0.6490912926790642;0.8592197359027479;0.7303615693550918;0.9252846097891949;0.9370474665165227;0.596031620963216;0.7591571867848622;0.9252846097891949
S13m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S23m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S33m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q13m int#1;234.71428571428572;605.5714285714286;80.57142857142858;338.42857142857144;151.42857142857147;937.7142857142857;84.14285714285715;324.0
q23m int#2;189.42857142857142;728.1428571428572;77.85714285714283;324.8571428571429;182.57142857142858;755.2857142857142;81.14285714285712;311.1428571428571
q33m int#3;155.85714285714286;898.7142857142856;79.71428571428572;333.57142857142856;225.0;623.4285714285714;82.85714285714285;333.57142857142856
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g14m int#1;11.000001927992548;17.000003213320912;5.0;16.00000257065673;11.000001927992548;17.000003213320912;5.0;16.00000257065673;82.63378048871216;40.92842926916367
g24m int#2;10.000001927992548;17.000002249324638;5.000000321332092;17.000003213320912;10.000001927992548;17.000002249324638;5.000000321332092;17.000003213320912;82.63378048871216;40.92842926916367
g34m int#3;11.000001606660456;17.00000257065673;5.000000321332092;16.000003213320912;11.000001606660456;17.00000257065673;5.000000321332092;16.000003213320912;82.63378048871216;40.92842926916367
X14m int#1;1.046488224559299;0.6102631538456131;0.7783181745789113;1.0081671741605869;0.6648171136901921;0.9597604236155604;0.8283386228166305;0.9469865905894556
X24m int#2;0.9273789315293477;0.7323993380383362;0.7496397360792911;0.9080048767687611;0.8793593104792845;0.7720674891863646;0.7956585455005288;0.853273733087429
X34m int#3;0.6930104725450809;0.9027635911680405;0.7663132177536529;0.9875716905188435;0.984644800886449;0.6363606442831147;0.8103312093739669;0.9875716905188435
S14m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S24m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S34m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q14m int#1;246.57142857142858;626.3571428571429;83.35714285714288;356.64285714285717;156.6428571428572;985.0714285714284;88.71428571428572;334.99999999999994
q24m int#2;198.64285714285714;751.7142857142858;80.28571428571426;341.28571428571433;188.3571428571429;792.4285714285713;85.2142857142857;320.71428571428567
q34m int#3;163.2857142857143;926.5714285714284;82.07142857142858;349.3571428571429;232.0;653.1428571428572;86.78571428571426;349.3571428571429
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g15m int#1;11.000031455628612;17.000052426047684;5.0;16.00004194083815;11.000031455628612;17.000052426047684;5.0;16.00004194083815;83.82158128201576;42.06871803073512
g25m int#2;10.000031455628612;17.00003669823338;5.000005242604769;17.000052426047684;10.000031455628612;17.00003669823338;5.000005242604769;17.000052426047684;83.82158128201576;42.06871803073512
g35m int#3;11.000026213023842;17.00004194083815;5.000005242604769;16.000052426047684;11.000026213023842;17.00004194083815;5.000005242604769;16.000052426047684;83.82158128201576;42.06871803073512
X15m int#1;1.1125747078259405;0.6395761300468961;0.8158904521881438;1.0748849242305467;0.6968198695228253;1.0203568856178624;0.8835430601639436;0.992138447593896
X25m int#2;0.9843423497371467;0.7662213838826418;0.7834163789312708;0.965391178346525;0.9193960503730466;0.8198724113149991;0.845656713008712;0.8913675736170786
X35m int#3;0.7349515807095227;0.9432694835165731;0.7996529878210384;1.0470289885265966;1.0289322129933318;0.6748732422106302;0.8591872204168515;1.0470289885265966
S15m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S25m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S35m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q15m int#1;258.42857142857144;647.1428571428572;86.14285714285715;374.85714285714295;161.85714285714292;1032.4285714285713;93.2857142857143;345.99999999999994
q25m int#2;207.85714285714283;775.2857142857143;82.7142857142857;357.7142857142858;194.1428571428572;829.5714285714284;89.28571428571426;330.2857142857142
q35m int#3;170.71428571428572;954.4285714285712;84.42857142857144;365.14285714285717;239.00000000000003;682.8571428571429;90.7142857142857;365.14285714285717
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g16m int#1;11.000274320702864;17.000457201171443;5.0;16.000365760937154;11.000274320702864;17.000457201171443;5.0;16.000365760937154;84.79773810735233;43.005828583058246
g26m int#2;10.000274320702864;17.000320040820007;5.000045720117144;17.000457201171443;10.000274320702864;17.000320040820007;5.000045720117144;17.000457201171443;84.79773810735233;43.005828583058246
g36m int#3;11.000228600585721;17.000365760937154;5.000045720117144;16.000457201171443;11.000228600585721;17.000365760937154;5.000045720117144;16.000457201171443;84.79773810735233;43.005828583058246
X16m int#1;1.1771466694076322;0.6677904196298621;0.8520838090690369;1.1402164105536006;0.7276284513066736;1.0795623755261068;0.9376343923089001;1.0355808867793734
X26m int#2;1.039924362585569;0.7986983542214459;0.8158029020544848;1.0214628539274948;0.9577980555699271;0.8665420091311712;0.8945087189473253;0.9278580104977124
X36m int#3;0.7758498931153407;0.982087824402879;0.8315440654330534;1.104986255998952;1.0713821298673751;0.7124278749449626;0.9068278902870742;1.104986255998952
S16m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S26m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S36m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q16m int#1;270.2857142857143;667.9285714285714;88.92857142857144;393.07142857142867;167.07142857142864;1079.7857142857142;97.85714285714288;356.9999999999999
q26m int#2;217.07142857142856;798.857142857143;85.14285714285711;374.1428571428572;199.9285714285715;866.7142857142856;93.35714285714282;339.8571428571428
q36m int#3;178.14285714285717;982.285714285714;86.78571428571429;380.9285714285715;246.00000000000003;712.5714285714287;94.64285714285711;380.9285714285715
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g17m int#1;11.00160972703446;17.002682878390765;5.0;16.002146302712614;11.00160972703446;17.002682878390765;5.0;16.002146302712614;85.63278088872536;43.80746965317634
g27m int#2;10.00160972703446;17.001878014873537;5.000268287839076;17.002682878390765;10.00160972703446;17.001878014873537;5.000268287839076;17.002682878390765;85.63278088872536;43.80746965317634
g37m int#3;11.001341439195382;17.002146302712614;5.000268287839076;16.002682878390765;11.001341439195382;17.002146302712614;5.000268287839076;16.002682878390765;85.63278088872536;43.80746965317634
X17m int#1;1.2407366377656528;0.6952614991990419;0.8874293031567667;1.2046666530070125;0.7576346253900648;1.1378579607302302;0.9911009507218095;1.0778816596547627
